['2', ' 0', ' 3', ' 0', ' 101']
['4', ' 22560', ' 1', ' 2', ' 64', ' 100']
['4', ' 23040', ' 1', ' 2', ' 64', ' 0']
['4', ' 23040', ' 1', ' 2', ' 64', ' 100']
['4', ' 23280', ' 1', ' 2', ' 64', ' 0']
['4', ' 23280', ' 1', ' 2', ' 65', ' 100']
['4', ' 23520', ' 1', ' 2', ' 65', ' 0']
['4', ' 23520', ' 1', ' 2', ' 67', ' 100']
['4', ' 24000', ' 1', ' 2', ' 67', ' 0']
['4', ' 24000', ' 1', ' 2', ' 64', ' 100']
['4', ' 24960', ' 1', ' 2', ' 64', ' 0']
['4', ' 24960', ' 1', ' 2', ' 64', ' 100']
['4', ' 25200', ' 1', ' 2', ' 64', ' 0']
['4', ' 25200', ' 1', ' 2', ' 65', ' 100']
['4', ' 25440', ' 1', ' 2', ' 65', ' 0']
['4', ' 25440', ' 1', ' 2', ' 69', ' 100']
['4', ' 25680', ' 1', ' 2', ' 69', ' 0']
['4', ' 25680', ' 1', ' 2', ' 67', ' 100']
['4', ' 25920', ' 1', ' 2', ' 67', ' 0']
['4', ' 25920', ' 1', ' 2', ' 69', ' 100']
['4', ' 26880', ' 1', ' 2', ' 69', ' 0']
